F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-47.38,117.36,43.78,14.79,12.35,-173.32,-2818.84,20767.29,-1073.02,-4575.94,1392.24,1.4,311.22,-350.19,3572.88,-545.76,-72.02,2.09,12.45,281.14,-559.72,31.04,8,2632.92,20721.56,-64.93,8,-159.27,Very high,-8277.99,-166.54,Rest,-7752.65,64.26,-69.99,-173.48,2355.84
-26.92,-7.46,19.22,5.91,7.74,-192.32,-3211.7,28448.31,-546.14,-3090.51,1700.22,11.89,570.51,-243.57,3138.99,-613.23,150.39,0,13.53,131.32,-479,14.52,4,2752.82,18020.18,-151.67,8,-540.96,High,-29550.18,-84.72,UK,-10671.4,61.38,-113.04,-197.55,179.21
-20.08,4.6,20.98,2.52,10.28,-70.4,-2836.13,30100.71,-751.86,-5307.99,2162.76,8.56,297.45,-137.82,1937.73,-625.8,-254.98,1.09,29.28,-205.53,-489.96,7.48,12,3118.56,17759.38,-119.79,10,988.35,Very high,-24068.46,-58.32,Rest,-13200.9,93.93,-98.82,-158.23,-1418.16
-38.6,64.44,22.34,16.08,13.14,-175.5,-2234.02,37623.63,-1130.56,-880.02,1707.51,11.73,344.16,-245.73,5150.22,-565.35,-340.72,29.12,16.83,125.55,-305.88,6.96,6,4627.18,20123.7,-168.98,2,501.63,High,-16744.38,-104.62,UK,-12001.15,60.69,-96.59,-181.45,2439.48
-28.38,27.98,25.62,7.2,14.86,-242.08,-2230.1,24639.93,-1298.3,-2444.77,927.03,8.88,302.07,-244.74,3090.69,-639.69,230.52,0.68,5.22,-69.25,-552.06,24.92,8,1345.92,15871.16,-144.71,8,1161.42,Very high,-28934.85,-98,Europe,-16747.85,63.18,-50.91,-163.44,1409.77
-55.48,189.92,20.04,16.32,8.83,-85.62,-3032.86,25212.57,46.12,-3821.29,571.56,8.05,15.3,-235.41,4377.09,-709.35,117.16,3.6,15.3,572.35,-544.2,6.68,8,3493.24,32605.24,-173.46,6,796.59,High,-10225.32,-121.08,UK,-12427.55,56.13,-62.13,-204.04,2857.96
-27.52,97.6,26.52,25.23,9.16,-77.18,-2436.03,19389.48,-2060.88,-5824.68,1113.87,9.28,531.75,-102.72,2351.97,-521.91,87.32,42.13,7.47,-105.66,-384.58,-2.14,8,3403.94,18348.02,-139.18,4,25.56,Low,-12109.23,30,Europe,-16798.72,58.59,-34.57,-194.77,2660.24
-26.42,73.74,33.62,8.34,7.41,-168.48,-2212.98,26340.84,-1064.84,2669.45,2176.41,16.13,352.74,-139.95,3017.31,-633.96,57.17,2.05,6.45,-419.31,-519.22,-3.86,8,3426.36,4141.24,-163.64,4,-395.13,Very low,-17782.65,-150.62,USA,-13721.76,66.69,-68.39,-193.08,270.22
-10.36,78.56,21.76,17.94,12.53,-134.7,-2341.34,23727.12,-450.84,-3589.03,875.64,10.63,364.32,-450.81,2445.06,-388.02,53.61,2.86,5.52,-293.79,-482.88,7.26,12,3424.46,11920.08,-163.33,4,1654.17,High,-24762.63,-219.98,UK,-16456.27,58.8,-106.14,-173.41,2037.71
-35.06,89.12,51.64,5.49,10.4,-140.12,-1802.05,16721.25,-1289.54,-3761.45,721.71,7.77,410.58,-300.48,3971.28,-495.06,-333.63,243.23,9.36,355.01,-487.7,-0.84,14,2296.66,11420.48,-118.29,10,1833.03,High,-10574.64,-55.72,Europe,-11445.62,62.82,-107.06,-194.07,3172.43
-24.82,86.72,38.1,13.41,11.87,-101.62,-1813.75,24561.36,-591.98,-1963.24,732.45,14.22,378.15,12.24,1805.13,-718.62,515.72,0.04,6.33,67.22,-496.98,8.7,10,3340.54,22875.06,-108.52,6,-372.51,High,-6062.22,-90,UK,-11222.38,60.75,-65.16,-200.44,1396.39
-26.24,72.36,26.42,12.33,12.89,-71.72,-1387.14,8151.66,-1212.48,-6644.29,1265.64,11.14,288.21,-268.08,3156.18,-642.3,95.34,0.01,7.83,359.7,-559.62,6.58,10,3984.72,25178.04,-118.67,10,959.49,Very low,-31248.09,100.64,USA,-8941.95,66.93,-77.2,-173.19,-243.62
-29.08,102.1,34.72,12.72,12.78,-174.3,-2109.56,11716.35,-1076.42,2302.31,2192.49,12.01,407.4,-218.4,2495.13,-752.94,-200.89,0.26,5.82,343.37,-456.32,8.02,2,2751.48,17496.16,-112.7,8,-342.72,Very low,-27708.3,-65.84,USA,-15205.64,63,-82.13,-201.61,79.59
-30.98,20.44,10.5,17.34,10.53,-68.88,-2073.51,22795.92,-596.5,2152.34,1377.57,18.48,303.51,-142.8,1548.63,-640.14,-922.56,0.03,14.1,-295.89,-519.66,4.06,12,3685.6,22168.08,-105.74,6,-434.43,High,-14289.33,-129.98,Europe,-12170.65,59.55,-100.87,-153.03,2005.25
-30.34,120.06,18.12,-9.6,10.71,-160.32,-2122.86,21662.82,-916.26,-3740.83,567.78,19.45,342.99,-227.37,3234.09,-540.39,209.31,1.37,7.14,55.38,-584.6,9.26,16,2765.5,18101.96,-152.55,6,319.56,Low,-25401.6,-62.36,USA,-11187.05,63.09,-37.73,-189.9,153.15
-32.98,100.94,24.64,11.82,10.25,-221.12,-1777.56,37151.01,-1669.64,6394.19,1449.06,14.86,248.1,-219.57,3583.92,-573.21,-162.07,0.05,1.14,171.01,-512.86,0.48,12,4175.98,29631.4,-130.24,12,482.64,High,-28201.47,-81.88,Europe,-16499.77,64.23,-39.08,-114.38,-141.66
-26.52,118.92,25.26,5.58,14.03,-16.24,-1947.69,10904.37,-1288.88,-2172.81,476.28,10.25,269.1,-164.85,3823.62,-463.41,-43.64,0.03,10.32,273.04,-488.52,0.52,12,3486.42,10539.92,-104.01,14,666.18,High,-20741.94,5.64,Rest,-10753.51,69.57,-87.42,-159.11,-1396.93
-29.56,62.82,29.5,-2.34,11.23,-188.78,-2231.1,20009.28,-950.46,-1361.09,1326.03,13.53,338.28,-170.25,1809.15,-502.59,-168.87,66.28,1.5,-633.85,-513.3,-2.68,6,2878.38,17013.8,-149.78,12,-1091.25,Very high,-12529.35,-25.42,USA,-13960.24,85.83,-43.65,-104.32,194.12
-33.74,10.74,20.82,3.06,10.88,-226,-2056.85,21254.4,-1556.82,-2838.46,255.24,10.59,462.63,-274.5,3574.65,-504.9,110.18,0.18,4.47,-102.76,-517.22,12.32,4,2883.8,10908.72,-100.96,8,905.58,High,-10760.31,-64.66,Rest,-14583.15,57.81,-22.47,-215.41,1917.82
-12.36,94.6,12.92,11.01,11.83,-140.72,-1942.91,16229.88,-1913.76,-1375.9,1695.81,10.19,296.22,-278.7,3049.41,-419.22,-468.88,3.18,6.06,-429.43,-473.5,8.56,12,1443.12,11920.94,-130.91,10,501.45,Medium,-24280.53,-176.62,Europe,-11904.33,57.09,-56.15,-160.74,178.79
-34.34,59.1,41.48,3.99,14.67,14.44,-2653.29,24241.8,-2088.36,-1733.08,1419.09,10.6,277.98,-287.94,4363.98,-486.81,-487.12,0.66,7.56,373.87,-352.18,2.2,0,3810.38,19302.12,-85.43,4,50.76,High,-16769.67,-14.38,USA,-11067.92,56.58,-33.67,-185.05,874.75
-29.78,54.84,24.68,9.6,10.75,-156.96,-2360.9,26770.23,-780.58,379.89,795.9,11.96,338.19,-165.36,1505.37,-820.5,-363.29,6.36,25.86,134.36,-490.92,9.08,10,3446.74,19056.08,-106.9,10,890.16,Very low,-16902.27,-132.28,Europe,-18937.64,57.3,-85.46,-172.91,1203.73
-28.48,97.1,12.68,31.26,11.51,-216.28,-2487.93,37619.49,-1048.34,41.75,284.58,15,432.93,-243.54,2402.7,-565.8,11.71,25.66,1.77,76.83,-483.96,10.16,10,2675.68,28538.08,-118.36,14,-218.1,High,-16468.8,28.02,UK,-10977.71,61.92,-60.89,-186.88,951.55
-35.32,49.3,23.98,-0.03,12.22,-219.42,-2763.35,18510.48,-1433.2,-588.75,-342.21,10.91,327,-334.41,2426.22,-607.65,590.02,7.19,9.21,209.26,-445.34,-2.96,14,3647.7,13838.38,-123.44,6,99.9,Very high,-13074.96,-47.54,Rest,-10064.6,61.74,-27.83,-180.42,2246.86
-23.02,120.42,25.64,-0.84,12.97,-123.58,-2945.72,4279.17,-1353.18,-76.62,2493.63,25.47,337.89,-227.31,2589.15,-494.43,-298.65,1.15,24.12,-22.27,-591.7,8.78,12,3403.38,17625.48,-83.24,4,440.73,Very high,-33499.29,-123.42,Europe,-9688.03,56.82,-46.18,-167.3,2565.44
-40.04,90.82,34.6,-10.11,10.83,-171.2,-2583.88,29147.34,-1048.64,-5926.66,1168.77,9.75,262.41,-284.55,1765.65,-801.33,-190.28,1,2.61,-995.37,-637.18,8.02,8,3343.74,18711.44,-77.18,6,-885.96,Low,-13337.01,-91.64,UK,-6238.61,60.99,-48.94,-234.89,969.81
-24.06,23.84,18.72,-13.23,12.04,-182.54,-1467.96,24910.62,-1830.74,-2000.81,2783.43,9.92,440.61,-273.6,3874.65,-408.69,-185.41,3.59,11.61,724.5,-540.5,9.32,4,3533.86,23945.02,-67.56,4,-1287.72,Very high,-29177.67,-96.76,UK,-12239.99,68.94,-22.54,-186.63,850.6
-31.2,206.94,11.62,25.2,12.71,-150.92,-2587.92,26381.61,-603.02,-3474.36,-513.72,12.2,414.36,-412.44,2311.17,-580.44,-52.96,0.01,8.94,578.65,-649.74,8.22,10,3028.84,20567.92,-105.61,10,-276.57,Low,-11699.58,-95.82,Europe,-11345.18,64.71,-36.42,-161.76,-56.37
-30.68,75.86,21.34,8.61,10.07,-23.9,-2189.45,16869.15,-1244.92,581.69,1313.28,10.99,213.24,-270.45,2889.66,-531.51,-260.34,0.07,5.4,397.9,-569.94,12.6,12,3156.34,20558.9,-106.64,4,942,Medium,-8139.54,-76.7,Rest,-10898.38,62.7,-79.92,-184.53,1012.9
-22.84,71.56,18.72,1.2,3.01,-71.94,-2042.22,27212.88,-1722.76,-2229.19,6.21,12.45,275.01,-171.87,2983.53,-387.12,129.63,14.08,20.25,273.84,-534.58,19.78,14,3244.74,17336.08,-141.06,12,-1203.84,Very high,-18124.68,44.96,Rest,-10690.26,76.05,-32.29,-183.52,-1106.38
-33.3,46.94,31.9,19.44,11.85,-170.74,-2331.07,15689.34,-862.7,-2520.58,-180.45,12.74,105.18,-175.32,5668.86,-744.21,-243.99,3.64,3.72,-275.05,-514.98,8.58,14,4162.92,8382.06,-79.06,4,940.68,High,-14399.34,-105.48,Rest,-7565.89,54.27,-41.89,-187.37,2830.99
-33.86,171.46,28.7,-0.66,-7.57,-136.04,-2172.85,14354.79,-31.8,-3596.5,1977.66,17.54,331.17,-273.27,2812.35,-561.3,59.23,0.03,17.94,-91.99,-563.98,7.28,10,2321.42,25687.04,-145.22,14,1843.35,Medium,312,-99.32,Rest,-11386.4,58.65,-88.91,-175.94,1540.15
-31.46,221.92,14,5.79,10.54,-143.82,-2114.6,16282.74,-1172.06,-3258.79,326.79,19.04,307.41,-360.09,1748.73,-548.04,69.34,37.89,22.62,-116.74,-420.32,8.44,4,2764.68,9836.2,-132.23,2,2033.25,Medium,-24185.94,-87.14,Rest,-11396.3,59.55,-7.56,-186.94,2844.51
-17.16,40.6,27,23.7,13.55,-75.48,-2107.31,26007.18,-74.96,881.34,1816.02,24.17,24.39,-171.18,4679.7,-477.81,-50.49,6.79,12.15,93.19,-496.16,10.78,8,4450.56,14520.72,-125.96,10,-494.76,Low,-20067.57,95.5,UK,-10639.97,88.14,-76.4,-127.98,-403.27
-30.3,15.64,24.88,10.65,13,-182.16,-1268.64,22433.94,-1961.36,-6464.54,1347.03,13.46,489.72,-145.14,3312.66,-655.68,-666.63,231.05,10.02,564.62,-506.64,2.74,6,3543.56,9922.16,-183.38,8,-449.52,High,-25477.59,-156.26,Europe,-13876.08,53.28,-79.95,-218.38,3464.18
-21.74,46.68,26.3,14.34,9.58,-140.94,-2308.78,28650.78,-535.1,-2457.88,1665.09,14.81,525.78,-168.3,2792.31,-634.29,-612.71,3.85,11.37,-503.35,-484.02,14.98,6,6342.82,16569.86,-117.84,6,-1051.05,High,-20775.21,-153.34,UK,-12592.37,62.49,-94.83,-192,1797.6
-14.64,78.1,10.3,14.58,11.85,-247.88,-2496.12,33502.56,-789.02,1483.57,-401.04,5.7,144.9,-361.44,2430.3,-586.44,-162.8,7.34,2.88,231.16,-477.14,-0.76,18,3900.16,13547.5,-84.03,8,235.08,Very low,-5184.96,-92.68,UK,-9717.24,60.51,-123.58,-119.79,782.34
-26.74,76.1,31.26,10.38,12.71,-115.28,-2616.98,29382.63,-1810.54,-1927.01,1646.55,11.73,136.86,-255.18,2762.52,-417.39,-457.32,31.02,3.15,-426.25,-452.18,13.26,10,3586.08,9727.98,-85.77,2,1525.26,Very low,-11790.81,44.66,Rest,-13842.9,58.56,-65.22,-152.69,2163.2
-30.52,108.88,28.6,6.78,13.52,-225.42,-2355.68,31577.88,-1034.42,-3824.26,336.6,10.07,323.37,-306.96,3990.3,-330.93,-289.93,0,5.91,15.28,-339.88,9.44,6,3992.72,27353.66,-110.9,2,169.77,Very low,-4170.6,-86.74,UK,-9894.78,59.64,-89.2,-158.18,676.87
-26.94,32.34,10.82,17.25,16.98,-81.04,-2165.84,26842.83,-622.2,358.59,1341.93,11.74,294.75,-140.19,2619.81,-698.7,-589.64,22.29,17.37,152.11,-555.9,2.3,14,2555.04,19435.48,-136.73,6,1486.74,High,-15694.38,-22.54,UK,-11886.55,92.61,-84.42,-164.44,-15.29
-29,70.4,22.58,7.59,12.78,-160.28,-2057.12,36532.8,-1465.28,1325.77,951.33,0.95,507.69,-178.38,2033.49,-723.84,31.64,118.92,7.65,736.92,-479.58,14.52,12,497.86,22416.42,-101.8,10,618.84,Medium,-16615.32,-116.36,UK,-5797.35,74.25,-67.73,-197.74,224.55
-28.28,141.7,27.52,2.1,10.26,-156.4,-2879.1,30263.76,-2193.84,-3749.24,878.76,30.58,328.5,-132.6,3490.65,-688.59,126.76,0.99,3.75,278.74,-523.8,11.14,10,4280.2,23566.02,-117.42,6,16.98,Very high,-22176.27,-107.64,UK,-11778.69,70.65,-37.73,-206.78,85.21
-23.66,-24.28,31.64,16.74,10.71,-114.16,-1842.28,12918.99,441.24,-636.23,231.21,9.29,197.37,-212.13,3220.05,-359.22,270.37,0.03,5.01,97.69,-551.3,24.22,6,5898.14,5839.02,-114.31,10,66.18,Medium,-20759.61,47.74,Rest,-10315.18,75.51,-89.73,-137.43,-80.66
-17.42,69.88,19.6,18.21,11.06,-98.4,-2265.87,27426.66,-1056.34,5786.45,-178.2,14.85,434.64,-220.65,2160.42,-481.44,-419.98,31.74,10.2,517.96,-602.8,16.2,8,4140.98,25424.98,-147.67,10,795.69,Very low,-15118.47,-307.82,USA,-11972.37,54.27,-33.37,-181.03,670.53
-22.9,96.34,33.62,17.55,11.05,-178.2,-1850.6,21767.82,-2356.36,-3308.34,454.05,12.38,290.31,-132.72,3459.15,-496.08,119.98,2.43,18.66,-376.34,-539.96,24.7,6,1180.8,28919.14,-92.92,10,402.69,Medium,-20798.37,92.4,Europe,-6683.5,59.43,-90.45,-97.25,67.59
-29.82,27.82,30.1,19.65,12.69,-146.44,-2170.48,24378.21,-144.86,-2938.16,866.13,7.22,348.45,-290.16,1744.86,-528.51,-308.64,0.41,10.71,339.58,-512.62,24.04,2,2840.58,5131.8,-72.71,10,335.19,Low,-24353.64,95.78,USA,-9681.7,74.25,-94.06,-241.05,134.27
-16.36,49.92,22.78,3.54,14.27,-279.68,-1759.09,14281.62,-105.28,-2952.66,310.2,12.45,317.16,-311.64,1500.81,-577.35,40.74,193,1.17,104.13,-436.66,7.38,6,3217.06,17222.86,-113.65,2,581.04,Very low,-23437.38,-42.5,USA,-7145.77,74.28,-42.06,-130.97,956.04
-28.7,94.82,25.22,24.54,8.88,-204.94,-1989.65,28960.92,-1158,2221.54,1504.89,15.02,351.72,-462.87,3464.73,-567.78,-99.4,10.37,13.08,-256.22,-537.5,3.8,6,4495.46,16485.06,-91.72,6,1515.39,High,-7530.87,-44.42,Europe,-7285.19,61.41,-36.01,-211.69,3697.1
-25.04,218.76,40.04,0.12,11.06,-94.88,-2429,28005.75,-518.46,-5005.84,361.08,12.65,-59.52,-200.52,1985.58,-578.1,-128.47,0.2,32.43,141.11,-427.42,12.62,8,3409.58,7782.44,-167.46,10,810.24,Low,-16947.18,-307.8,Rest,-6854.2,62.61,-33.18,-114.14,155.47
-29.28,0.96,20.52,18.63,14.18,-41.7,-1984.43,31525.47,-2199.26,-2181.23,1839.45,13.76,115.35,-382.17,3132.81,-378.54,-624.78,2.65,12.9,161.72,-553.76,17.94,8,3847.36,16528.82,-70.61,4,1788.21,Very low,-24817.74,-112.7,USA,-12489.1,64.41,-53.71,-36.7,18.86
-22.02,1.04,20.28,18.69,10.1,-161.16,-1991.23,26748.45,-1422.36,4830.28,1759.05,14.54,246.27,-350.04,3442.53,-626.52,18.86,2.22,3.03,481.64,-512.38,9.64,6,2765.4,21962.26,-147.31,12,24.03,Very low,-19097.25,-59.9,UK,-12190.04,60.18,-66.29,-167.87,16.59
-21.3,86.88,29.54,22.35,5.06,-83.88,-2222.13,36695.34,-1597.74,-164.06,1792.38,9.68,183.69,-139.89,2742.6,-459.66,-97.27,0.4,3.18,459.89,-593.14,18.34,14,3567.64,17895.14,-99.5,6,517.68,Low,-14720.46,-254.28,Rest,-11760.11,57.36,-67.82,-151.2,146.25
-28.28,8.54,12.98,15.06,7.98,-54.68,-2156.4,36228.99,-450.78,-4522.82,1505.46,-1.49,179.49,-358.77,4525.17,-616.71,-41.34,48.26,17.37,-100.67,-443.92,8.34,6,2902.86,17513.36,-133.86,10,727.95,Very low,-5806.05,53.36,UK,-4666.04,61.29,-80.83,-208.3,1624.77
-25.98,113.4,26.74,25.05,6.12,-108.12,-2345.69,25665.06,-1329.2,-3901.58,567.54,7.73,331.8,-281.37,1865.73,-447.27,-228.09,1.63,4.98,-167.64,-877.16,3.46,6,4021.42,18536.72,-122.69,8,-646.95,Very high,-17947.29,-101.28,USA,-8158.44,59.19,-4.65,-168.1,831.36
-28.64,85.36,22.34,10.29,16.62,-138.08,-1751.57,32698.44,-2053.54,-3571.2,2312.85,1.6,281.22,-416.73,3203.76,-562.44,274.32,5.48,45.57,435.66,-492.36,5.64,2,3429.74,13961.4,-121.01,6,164.82,Low,-32967.39,88.34,Rest,-11321.4,64.74,-66.35,-151.37,-641.56
-37.62,137.12,22.98,20.82,14.78,-56.54,-2216.22,32121.33,-1537.22,-6881.82,1619.55,13.29,19.95,-171.75,4108.8,-593.07,-81.45,0.87,9.39,528.48,-499.98,3.48,12,2937.36,30192.86,-117.39,14,1498.95,Low,-11579.46,-305.72,UK,-7684.58,55.5,-18.89,-190.6,89.53
