F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
0,172.644,-4182.64,5.763,-2783.68,9.9408,-2.3882,-6.757,4976.84,34953.33,-1.82,16025.26,-5.204,1,0.1306875,22.281,-1555.54,-4.76499,-4522.74,-14.4579,,True
1,187.54,-4825.26,4.5209,-2650.73,10.3341,-2.1994,-4.5897,5182.84,35212.35,-3.82,8090.66,-2.7056,0,0.3235,4.272,-1814.3,-5.5848,-4422.942,-17.46,,False
1,174.516,-2422.26,4.5245,-2672.75,11.1246,-2.7494,-4.49515,5729.62,35205.51,-1.82,8556.76,-2.35987,1,0.5999,-9.165,-2029.14,-7.719,-4931.55,-13.4205,,False
1,164.3174,-4266.28,5.582,-2594.84,12.405,-2.7894,-8.272,5847.48,35245.26,-3.82,8745.9,-3.0076,1,0.9989,39.219,-1928.92,-5.7252,-4618.89,-15.1038,-50.1,False
1,174.924,-1896.26,4.1559,-2173.64,14.328,-5.109,-4.5976,5713.14,35471.55,-3.82,7798.26,-5.069,1,0.6439,12.906,-2324.74,-4.8795,-4213.98,-14.04,,False
0,170.14,-4057.76,4.1972,-2977.64,11.4027,-2.8536,-5.93,5531.24,35252.22,-3.82,8649.284,-4.328,1,0.3961,25.323,-1748.94,-6.8445,-4400.379,-15.5718,,False
1,223.12,-4102.36,3.971,-2647.84,10.758,-2.2963,-5.586,5250.84,35242.59,-1.82,9048.46,-3.306,1,1.233,16.158,-1704.68,-8.142,-4789.95,-16.326,,True
1,167.848,-1091.26,3.9555,-3239.64,14.07,-2.2254,-4.5162,1996.24,35424.9,-3.82,8673.364,-4.734,0,0.5927,15.204,-1867.52,-9.198,-4092.45,-16.524,,False
1,163.8312,-4146.84,5.361,-2647.54,9.8592,-2.1715,-4.8583,3556.24,31568.13,-3.82,8697.14,-3.485,1,0.3141,5.22,-1869.94,-10.392,-4180.2,-17.043,,False
0,165.498,-4248.24,4.6839,-2728.39,9.7929,-2.4119,-5.0658,3752.24,35234.19,-3.82,9138.66,-2.5641,0,0.137143,8.7978,-1796.92,-7.005,-2904.75,-20.739,-50.52,False
1,184.86,-4135.76,3.87414,-3110.74,10.1136,-2.9299,-7.096,5861.38,34878.33,-3.82,8645.66,-5.913,0,0.1302714,31.008,-1754.022,-7.5591,-4478.22,-20.499,-50.1,False
0,201.66,-4651.16,6.343,-2653.61,11.031,-3.33,-4.7658,5720.78,35051.19,-3.82,9165.86,-5.702,0,0.1309693,17.352,-2593.14,-6.7311,-4489.23,-12.96132,,False
1,185.76,-3855.76,4.563,-2541.74,15.642,-2.3394,-5.538,6275.04,35308.218,-3.82,9039.46,-3.1827,0,1.661,17.556,-1763.612,-8.094,-4906.95,-18.324,-49.38,True
0,176.952,-4244.595,4.5412,-2764.97,9.52356,-2.5901,-7.156,4742.24,35282.424,-1.82,8625.88,-2.7304,0,0.7541,26.964,-1816.76,-5.3556,-3431.55,-18.726,-50.76,False
0,171.388,-4180.18,4.3705,-2394.34,10.17,-2.5685,-6.658,5524.04,35239.05,-3.82,9577.86,-3.0553,1,0.4262,23.847,-1841.26,-5.8926,-4600.5,-15.4248,,True
1,176.166,-4256.09,6.166,-2865.24,12.0615,-2.1589,-5.2081,-1315.76,35293.44,-1.82,8621,-3.252,1,0.8321,4.257,-1775.592,-9.903,-3757.65,-14.421,,True
0,178.85,-3802.66,5.281,-2561.54,10.5045,-3.263,-4.4977,5694,35289.184,-1.82,8823.88,-2.8756,1,0.17839,-21,-2019.94,-7.263,-4313.07,-14.6571,,True
1,176.71,-3066.26,4.4601,-2306.34,11.0067,-5.196,-4.6584,5821.28,35209.11,-3.82,8773,-2.6028,1,0.2815,15.024,-1833.82,-11.961,-5060.25,-18.096,,True
1,179.684,-4305.94,5.767,-2798.36,10.764,-3.085,-7.08,4804.44,35057.61,-3.82,8902.86,-5.197,1,0.3061,14.529,-2100.14,-7.0392,-4169.46,-13.4406,-53.46,True
0,170.956,-4824.96,4.911,-2519.04,14.694,-4.43,-4.8087,5754.46,35235.27,-3.82,9398.66,-2.895,1,0.2416,20.673,-1791.12,-6.2298,-5078.25,-17.661,-53.37,True
0,164.937,-3545.86,4.1065,-2334.34,10.3257,-3.096,-4.98,5830.84,34064.13,-1.82,9031.46,-4.559,0,0.4439,31.191,-1765.044,-7.851,-4550.52,-14.9286,,True
1,186.48,-2628.26,4.1171,-2757.506,10.1031,-3.37,-4.5356,5511.24,35280.456,-3.82,9032.46,-2.7346,0,0.4174,-5.13,-1780.666,-6.4467,-4242.66,-17.523,-52.08,True
0,168.424,-4352.66,4.2545,-2280.24,11.2107,-2.3508,-4.6281,4548.44,42722.13,-1.82,8976.66,-3.42,1,0.5277,12.8655,-2328.54,-7.737,-4236.78,-13.4985,-44.73,False
1,172.316,-4375.46,5.053,-2518.04,9.53337,-3.223,-5.446,5263.24,35155.56,-1.82,9776.66,-2.8355,0,0.777,19.008,-1999.74,-5.4795,-3512.85,-15.6615,-45.45,False
1,172.564,-4612.96,4.6504,-2516.44,12.972,-2.7685,-4.5977,5454.44,35259.171,-1.82,8652.648,-2.4652,1,0.8482,13.3893,-1919.86,-5.2077,-3311.25,-15.849,-49.62,False
0,167.882,-4280.99,5.751,-2747.72,10.3116,-2.1698,-5.714,6077.84,35219.58,-3.82,8617.88,-3.616,1,0.131338,19.341,-1692.54,-8.832,-4668.36,-14.2659,,False
1,197.38,-4276.04,4.2084,-2955.44,12.633,-3.214,-6.428,5156.04,35357.04,-1.82,8844.94,-5.584,1,0.1831,3.549,-1777.356,-8.313,-4297.8,-19.749,,True
0,165.4404,-2994.26,8.354,-2756.607,9.47604,-4.956,-4.6336,5600.02,35053.74,-1.82,9430.46,-2.6837,1,0.621,14.0808,-1826.64,-4.9764,-3431.55,-16.326,-51.57,True
0,276.2,-4277.78,3.87015,-2821.31,9.37143,-2.3507,-6.623,3822.64,35080.59,-1.82,8641.02,-5.493,1,0.17805,-2.025,-1828.96,-6.861,-4250.43,-18.033,,False
0,201.58,-3873.56,4.1585,-2101.34,9.9636,-2.3024,-5.217,7661.24,35159.46,-3.82,8326.06,-2.7975,0,0.5451,-2.169,-1802.94,-5.5248,-5332.35,-18.882,,True
1,206.52,-3431.66,5.376,-2720.15,9.49632,-2.9538,-4.6691,4846.84,35393.22,-3.82,8908.46,-2.5675,1,0.4604,11.20557,-2806.54,-9.921,-2087.25,-13.1502,-51.69,True
1,179.536,-4153.96,4.5956,-2489.54,13.623,-2.2185,-6.61,5446.84,35528.61,-1.82,8640.32,-2.7554,0,0.14409,12.705,-2308.74,-10.134,-4073.85,-13.6686,-55.59,True
0,228.48,-1147.26,5.526,-2828.23,11.6799,-2.4165,-4.5339,5362.04,35366.49,-1.82,8929.86,-4.316,0,0.9608,19.488,-1596.38,-7.5561,-4535.01,-14.7288,-54.72,True
1,166.44,-4277.11,5.756,-2817.01,11.0241,-2.5265,-6.807,5225.24,35537.91,-3.82,8457.06,-2.4111,0,0.14501,-7.635,-1717.98,-5.0214,-5706.45,-16.998,,False
1,219.66,-5640.26,5.909,-2734.31,10.1409,-3.255,-4.48942,5521.04,35644.53,-3.82,11511.26,-3.0634,1,0.9748,-22.26,-1752.744,-4.8816,-4640.61,-17.373,,True
1,198.1,-1798.26,5.16,-2772.96,10.512,-2.4685,-4.5334,5107.84,35401.2,-1.82,7746.46,-3.398,1,1.461,19.002,-2524.14,-4.75149,-4183.2,-13.01265,,False
1,182.75,-4059.66,4.5173,-2990.84,12.717,-2.201,-6.276,3244.24,35288.66,-1.82,8406.86,-2.9972,1,0.133134,-5.706,-1774.606,-6.4158,-3899.25,-23.88,,False
1,174.334,-5047.86,7.298,-2701,13.461,-4.066,-4.5838,5819.54,35288.647,-3.82,9878.06,-3.445,0,0.2713,17.331,-1764.668,-5.1621,-4852.65,-22.482,,True
1,166.732,-4291.53,5.369,-2622.44,11.3436,-2.6909,-5.2149,5271.84,35317.548,-1.82,8607.96,-2.5917,0,0.3224,-18.258,-2128.14,-7.593,-3139.35,-14.3934,-46.89,False
0,230.42,-4339.66,3.87808,871.26,10.0617,-2.6275,-5.952,5762.506,35188.26,-1.82,8739.54,-2.7712,1,0.3921,-0.531,-1851.8,-7.917,-4578.54,-18.384,-47.25,False
1,180.86,-5105.26,5.66,-2836.95,10.311,-3.093,-4.697,4833.64,35369.13,-3.82,8658.334,-3.82,1,0.134327,2.811,-1822.32,-5.0352,-3960.45,-16.002,,False
1,173.502,-3559.96,6.02,-2682.31,15.303,-2.137,-4.6257,5177.84,35225.43,-1.82,9356.06,-4.158,0,2.097,-0.75,-1841.58,-5.058,-4438.47,-15.807,,False
0,164.142,-4333.28,3.9831,-1761.24,16.269,-2.2282,-5.0714,4395.04,35351.16,-3.82,8698.74,-4.248,1,0.3654,47.55,-1881.2,-7.0578,-4288.92,-16.83,,False
1,166.962,-4269.17,7.491,-2669.01,13.137,-2.436,-6.988,6310.04,35325.72,-1.82,8804.1,-2.9356,0,0.3111,15.651,-1820.96,-5.6283,-4944.75,-18.372,,False
1,164.2106,-7615.26,4.6113,-2969.04,9.7902,-5.126,-4.4864,5627.92,35345.88,-1.82,8548.04,-2.4297,1,0.608,33.957,-1350.74,-7.2597,-4362.36,-13.2231,-45.9,False
1,164.2988,-4365.36,4.6631,-2546.24,10.3734,-2.8161,-4.5243,5335.64,35572.38,-3.82,9042.06,-2.4975,0,1.945,28.593,-1836.6,-5.0418,-3010.65,-19.746,,False
1,168.918,-4141.65,4.1125,-1444.74,11.274,-2.787,-5.707,5977.44,35386.11,-3.82,8816.52,-3.2471,1,0.18673,25.227,-2225.54,-8.709,-4523.01,-14.0442,,True
1,176.824,-3428.36,6.433,-2780.81,11.2854,-3.352,-4.8038,5336.44,35251.14,-1.82,10349.86,-3.057,0,1.798,8.8137,-1825.14,-4.9773,-3965.55,-14.1489,,True
1,208.12,-3592.36,4.014,-1488.74,11.1249,-3.31,-4.9981,5648.14,35287.537,-3.82,8670.7618,-2.37157,1,0.16025,10.83591,-2353.54,-9.09,1010.25,-14.0532,,False
1,201.62,-4716.96,5.398,-2631.14,16.293,-4.379,-4.5261,5850.64,35547.63,-3.82,8228.46,-2.38319,1,0.5,8.5575,-1969.44,-5.0058,-7797.75,-13.7034,-44.85,False
1,180.884,-8482.26,3.8925,-3307.04,11.7768,-6.474,-4.46364,5570.04,35354.16,-3.82,8984.66,-2.4885,0,0.14054,20.64,-1867.58,-6.1224,-1562.25,-15.171,,False
1,163.73382,-4301.36,4.2047,-2703.16,13.275,-3.505,-5.927,5566.84,35303.046,-1.82,10036.46,-3.417,0,0.3703,17.826,-1743.96,-5.1198,-4536.42,-15.1956,,False
1,177.936,-5582.26,6.467,-2751.273,9.6969,-2.4516,-4.5207,5820.46,35352.9,-1.82,8403.86,-3.2483,0,0.2563,23.982,-1533.94,-5.8947,-4768.05,-13.2882,,False
0,213.52,-3439.06,4.1436,-3114.74,16.602,-3.427,-4.8742,5327.04,35300.499,-1.82,8066.86,-2.9231,1,1.357,-4.164,-1821.42,-5.5173,-3266.55,-19.206,-54.06,True
1,177.242,-6057.26,4.6543,-2494.44,10.6179,-2.5717,-4.48442,5739.08,35287.978,-3.82,8636.78,-2.5211,0,0.3642,5.145,-1984.74,-6.9318,-4810.05,-14.346,,False
0,185.92,-4261.55,5.421,-2802.24,12.102,-2.4715,-5.4043,4540.64,35390.88,-3.82,8658.376,-5.162,0,2.03,-13.02,-1781.718,-12.426,-4291.56,-21.36,,False
0,205.14,-3613.06,3.9434,-3810.74,11.3862,-6.507,-5.0195,5735.14,35342.01,-3.82,9715.66,-2.8832,0,0.1301178,-11.424,-1703.8,-6.0558,-5224.95,-21.177,-52.05,True
1,206.02,-1851.26,4.4332,-2171.24,10.6263,-2.3537,-4.5681,6275.84,35267.298,-3.82,13027.26,-5.743,0,0.4153,5.799,-1941.26,-4.74468,-4425.81,-15.7551,,True
0,173.22,-3705.36,4.2785,-1979.64,9.915,-2.8512,-5.2344,6501.04,35419.05,-1.82,8857.98,-4.571,1,1.136,15.978,-1838.9,-5.6559,-4607.13,-18.042,,True
0,189.1,-4346.46,8.378,-2707.82,10.0863,-4.508,-5.886,5789.062,35240.91,-3.82,8949.86,-2.3809,1,0.7975,29.193,-1798.4,-6.3615,-8580.75,-15.5151,-51.18,True
0,183.052,-4133.56,5.704,-2873.84,12.33,-2.2272,-7.186,4916.44,35305.977,-3.82,8477.78,-2.6757,1,0.6147,2.055,-1497.94,-6.2946,-4773.45,-13.9758,-50.46,False
1,168.094,-4071.06,4.1197,-2390.54,9.9432,-5.69,-6.861,5813.62,35194.17,-3.82,8816.06,-2.66,0,0.4801,-14.907,-1683.18,-12.393,-5620.65,-13.7088,-51.75,True
0,178.984,-3191.26,6.045,-2803.15,9.7101,-2.10567,-4.712,-2007.76,35317.116,-1.82,8863.9,-4.103,0,0.5983,-3.393,-1769.004,-8.22,-4235.76,-16.809,-48.54,True
0,176.698,-4581.86,3.9257,-2807.14,11.8503,-3.304,-4.5603,5497.44,35326.38,-1.82,8628.16,-2.6808,0,0.5363,-17.628,-1793.52,-9.759,-3982.35,-19.374,,False
0,188.96,-3992.56,4.0497,-2935.84,13.797,-3.4,-5.1201,5617,35188.68,-3.82,9237.46,-2.6654,0,1.0502,2.481,-1739.68,-6.5997,-5234.25,-21.636,-52.71,True
0,216.32,-3856.16,4.2799,-2381.54,12.726,-2.835,-5.2171,4818.44,35291.424,-3.82,9242.46,-2.6535,0,0.15071,12.132,-3598.74,-6.1206,-2061.75,-13.182,,True
0,165.584,-4393.86,4.7136,-2402.54,11.5767,-2.09085,-5.607,-4799.76,35291.841,-3.82,9099.86,-3.437,0,1.694,47.94,-2170.74,-6.5889,-3896.25,-14.6886,,False
0,164.1872,-4257.39,5.195,-2687.77,9.8835,-2.9383,-5.3535,6024.64,35693.43,-3.82,8523.86,-2.7142,0,0.22663,-2.604,-1901.7,-8.691,-5292.45,-13.03476,-48.33,False
1,171.866,-4241.509,5.558,-2598.64,14.34,-2.6231,-6.322,5506.44,35327.16,-3.82,8934.66,-3.0726,1,0.4614,-16.374,-1812.18,-10.488,-4687.41,-17.448,-57.6,True
1,193.18,-4306.85,3.9769,-1097.74,9.2712,-2.10988,-4.7562,9164.24,35356.26,-3.82,8832.1,-2.9101,0,0.14922,-31.11,-2038.94,-5.5347,-5003.85,-13.9017,,False
0,170.572,-4410.96,7.77,-2666.88,9.5997,-2.2796,-4.8858,6818.64,35317.962,-1.82,8884.66,-2.5344,0,0.4717,-3.954,-2043.34,-5.8188,-6074.25,-13.8441,-49.08,False
0,171.59,-4594.66,4.5709,-2416.74,9.42567,-2.5496,-4.9637,5278.44,35264.979,-1.82,8403.46,-2.5876,0,2.013,30.375,-2047.54,-6.7086,-3153.75,-15.2499,-48.75,False
0,184.9,-3614.86,3.845,20.26,10.7805,-3.303,-4.8297,5856.32,35281.077,-3.82,10497.66,-2.6217,1,0.2554,16.182,-1816.32,-4.82418,-5201.25,-15.345,-51.69,True
1,211.44,-3993.16,4.0705,-2913.84,10.3545,-2.1918,-5.772,5177.64,35252.64,-3.82,9146.66,-2.4414,1,0.4339,-6.771,-1725.4,-5.79,-5915.25,-16.362,,True
1,191.54,-3530.66,3.8647,-3582.64,12.816,-4.009,-4.9024,5691.24,35235.48,-1.82,8312.26,-2.4666,0,0.815,-9.024,-1794.88,-5.1702,-3985.65,-14.8239,,True
0,187.18,-4279.53,4.2101,-2940.44,10.074,-2.5216,-5.1157,4659.24,35312.775,-1.82,8126.26,-3.728,1,0.6003,6.012,-1798.5,-4.8702,-4164.21,-17.655,,False
1,191.5,-4039.46,4.7711,-2833.98,10.5369,-2.3623,-6.21,6317.44,35220.84,-3.82,8692.8,-3.0957,0,0.1562,12.0981,-1447.34,-7.662,-5008.95,-13.7529,,False
1,166.758,-4058.06,4.4085,-2835.82,11.7453,-2.9264,-6.154,4781.04,35270.301,-1.82,9733.26,-6.73,0,0.5457,32.373,-1912.16,-5.9421,-4266.45,-14.13,,True
1,168.644,-4312.15,5.307,-2828.25,12.309,-2.7458,-5.931,4765.84,35560.17,-3.82,8355.66,-6.5,1,0.15422,16.422,-1868.02,-5.2602,-4281.24,-14.418,,False
0,199.4,-4008.56,4.6633,-2648.98,10.5705,-2.5972,-5.432,5666.74,35241.84,-3.82,8694.7,-2.447,0,0.134723,-8.82,-2023.14,-6.0957,-4544.1,-13.5336,-47.58,False
0,179.446,-4487.86,6.281,-2759.25,17.757,-2.8205,-5.0331,4938.24,35038.11,-1.82,8660.406,-2.7826,1,0.1302045,13.1343,-2016.74,-5.6589,-3515.25,-13.8027,-50.07,False
1,223.88,-4026.66,4.5743,-2559.44,12.1695,-2.4691,-5.835,5936.92,35290.391,-3.82,11661.26,-2.6422,1,0.2915,10.818,-1819.3,-4.85877,-5303.85,-13.8291,-53.19,True
1,176.048,-4330.72,4.5483,-2546.44,11.5614,-2.08689,-5.536,6636.84,35389.65,-1.82,8685.426,-2.7677,1,0.3677,36.636,-1794.66,-7.3104,-4990.65,-17.883,,True
0,182.154,-1068.26,3.912,-1835.14,11.8731,-4.533,-4.5483,5834.82,35271.417,-1.82,8928.26,-4.878,0,0.6875,16.191,-1751.19,-9.246,-4578.9,-18.486,-53.58,True
1,194,-170.26,4.0409,-1986.04,9.4485,-2.5493,-4.50051,6555.44,35265.528,-1.82,8346.06,-3.782,0,0.4484,31.608,-1882.4,-4.9191,-4665.87,-14.1957,,True
1,164.8698,-4320.03,4.6986,-2535.14,11.1639,-3.877,-5.985,5776.1939,35242.32,-3.82,8529.06,-4.683,1,0.6465,19.533,-2290.74,-6.0456,-4443.93,-13.3548,,False
0,166.63,-4135.56,3.85329,500.26,10.0407,-2.3638,-7.45,6238.44,35281.992,-3.82,9201.86,-2.6264,1,0.4361,11.27142,-1835.38,-6.3606,-5507.85,-14.3466,,True
1,188.64,-4290.96,4.0926,-2749.326,10.6884,-2.3917,-7.591,3474.24,35371.11,-1.82,10089.26,-2.9363,0,0.391,3.237,-1841.36,-5.3352,-3796.95,-15.2151,,False
0,164.2022,-4397.96,7.892,-2680.01,10.9692,-2.1661,-6.151,4372.44,35360.4,-3.82,8240.66,-3.936,1,2.618,29.697,-1851.92,-5.9949,-4232.82,-20.784,,False
0,192.44,-4036.86,5.942,-2671.39,13.521,-2.4996,-5.718,6306.84,35494.44,-1.82,8189.46,-3.876,0,1.394,10.3368,-1917.82,-5.0634,-4555.47,-14.1717,-50.73,True
1,180.882,-5810.26,4.5723,-2458.14,13.614,-2.9284,-4.48921,4957.04,35320.32,-3.82,10476.26,-3.2212,0,0.2456,15.588,-1814.66,-5.1498,-3785.25,-26.394,,True
0,165.672,-4107.56,4.049,-1682.74,10.4904,-3.72,-6.547,5704.1,35375.13,-1.82,8690.68,-3.422,0,0.18752,25.986,-1869.22,-7.83,-4128.48,-19.284,-46.08,True
0,168.37,-4340.56,3.9987,-2925.94,12.585,-4.174,-5.749,5713.22,35382.57,-3.82,8562.32,-2.8277,0,0.19463,3.03,-1754.652,-8.712,-4683.42,-15.6282,,False
1,213.82,-4237.476,4.4436,-2956.14,9.9486,-3.287,-6.362,5811.42,34831.83,-3.82,8782.62,-2.499,0,0.6246,19.641,1350.46,-8.31,-7608.75,-12.95154,-43.41,False
1,231.24,-2117.26,4.106,-2974.44,9.43164,-2.6315,-4.5275,5461.64,35334.45,-1.82,8965.66,-3.847,0,0.13003224,33.423,-1663.6,-7.5546,-4566,-15.0834,-52.26,True
0,231.44,-4207.91,4.7334,-2943.04,9.53217,-4.142,-6.158,5607.44,35335.8,-3.82,8378.86,-2.739,0,0.2675,-15.246,-1723.82,-5.8356,-4283.46,-15.921,-45.48,False
1,174.008,-4393.26,4.008,-2123.14,9.30123,-3.585,-5.178,5773.68,35297.988,-1.82,8408.46,-3.917,1,0.6043,13.2873,-1868.02,-5.9316,-4477.41,-15.0045,,False
0,166.468,-4263.31,4.868,-2573.94,11.2746,-3.32,-8.652,5884.42,35321.67,-3.82,8173.46,-2.7458,0,2.297,15.174,-1820.06,-4.962,-5054.85,-16.554,-46.47,False
0,165.622,-4333.96,4.7306,-2841.36,11.7705,-2.9664,-4.9812,5662.44,35251.62,-1.82,8585.54,-2.34749,0,0.24,23.391,-1457.74,-6.9297,-9159.75,-13.4163,-48.75,False
1,187.82,-4188.86,4.5175,-2798.95,11.4678,-3.412,-4.49981,5554.84,35514.15,-3.82,8365.26,-3.1642,1,0.16851,20.043,-1793.92,-5.1171,-4303.98,-15.6546,-48.63,False
0,164.7496,-4436.66,4.1112,-2827.55,11.1939,-3.771,-5.664,5400.24,35389.17,-3.82,8562.94,-3.372,0,0.3218,4.905,-1845.32,-4.79451,-4045.95,-15.7266,-48.45,False
0,169.514,-4203.31,5.146,-2810.7,10.8714,-3.06,-5.2949,5100.44,35168.64,-1.82,8947.06,-5.618,0,0.1909,5.997,-1732.18,-8.757,-4336.47,-14.0673,,False
1,233.56,-4176.03,4.4264,-2341.54,12.756,-3.578,-7.945,5746.2,35270.334,-3.82,8661.906,-2.36443,1,0.9221,14.961,-1832.84,-10.386,-2019.75,-21.63,,False
1,185.82,-4245.299,4.0218,-3610.44,9.46203,-2.2601,-8.396,1810.24,35323.35,-3.82,8786.14,-3.339,0,2.273,-10.08,-1800.5,-7.1391,-3874.65,-14.1408,,True
0,173.83,-4268.19,4.6759,-2802.53,10.9416,-2.4426,-4.9674,4460.64,35302.329,-1.82,8604.44,-2.8614,1,1.732,2.415,-1830.1,-7.3182,-3741.75,-16.293,-49.83,False
0,186.9,-2888.26,7.334,-2723.3,10.1232,-2.632,-4.5991,5348.44,35316.159,-1.82,8630.44,-3.1127,0,0.3019,-6.381,-1891.22,-5.3826,-4067.85,-15.7242,-51.09,False
1,173.028,-5188.16,7.825,-2758.71,11.9232,-4.541,-4.6062,5429.44,35325.9,-3.82,9166.46,-2.5618,0,0.139362,0.528,-1915.56,-6.0303,-2642.55,-14.0754,-51.21,True
1,180.834,-4407.46,5.314,-2778.69,12.921,-2.6509,-5.835,5289.04,36517.83,-3.82,9467.66,-2.8526,1,0.5996,4.548,-1686.18,-5.355,-4916.25,-15.5247,,True
1,228.6,-4330.81,5.052,-2801.05,12.873,-2.1768,-5.78,1502.24,35316.93,-3.82,8803.3,-3.0833,0,1.85,-2.19,-1782.868,-7.26,-4073.85,-17.964,,True
1,174.214,-3724.86,4.0284,-1357.74,9.7365,-3.116,-5.1155,6034.04,35300.412,-3.82,9470.06,-2.4461,0,0.3046,5.964,-1847.76,-6.1212,-7208.25,-15.7419,-48.81,True
0,185.4,-3878.86,6.138,-2703.21,11.8146,-4.196,-4.6191,5735.88,35262.999,-3.82,16243.26,-2.5201,1,0.2307,13.4241,-1755.602,-4.71387,-5965.65,-17.748,,True
0,173.816,-4265.76,4.3753,-2421.04,9.7947,-2.8321,-6.777,5725.98,35384.85,-1.82,8801.24,-2.4243,1,1.432,12.2637,-2127.34,-8.406,-6047.25,-13.2888,-45.45,False
1,182.712,-4527.06,4.2963,-2558.94,10.7703,-2.09775,-4.6814,6409.44,35276.439,-3.82,8512.4,-4.07,1,0.4255,29.709,-2241.74,-7.854,-4496.1,-13.0974,,False
1,186.2,-3811.76,6.392,-2772.7,14.1,-3.414,-5.1174,5428.24,35255.43,-3.82,8674.416,-2.38472,0,1.968,27.306,-1864.12,-16.599,-315.75,-14.8179,,False
0,218.56,-4170.44,3.913,-2516.74,16.713,-3.825,-5.2551,5497.04,35267.739,-3.82,10805.26,-2.6251,1,1.161,8.2884,-2095.54,-5.0154,-3973.05,-13.1091,-45.96,True
0,173.44,-4568.36,6.571,-2652.13,11.8689,-2.8055,-4.8541,5854.08,35228.79,-1.82,8707.52,-3.294,0,0.1303592,16.362,-2862.74,-6.7602,-4591.44,-13.0884,-49.89,False
1,168.274,-4012.86,3.9403,-1326.74,9.6135,-2.3106,-5.1435,5709.8,35402.19,-3.82,8766.24,-2.362,1,0.2828,34.146,-1843.44,-8.967,-5384.55,-17.061,,True
0,198.64,-4345.56,6.106,-2576.04,9.37725,-2.1422,-6.148,2450.24,35265.837,-1.82,9344.26,-3.437,1,0.5886,1.245,-2049.94,-5.7507,-4111.77,-15.4671,-45.54,False
0,189.28,-3568.56,4.5369,-2745.653,10.419,-3.108,-4.4647,5450.64,35429.85,-1.82,8568.86,-2.7,0,0.304,20.865,-1829.62,-6.3486,-3887.25,-16.107,-47.28,False
0,200.16,-4245.323,4.013,-2283.74,9.9768,-2.12311,-7.288,-1429.76,35325.75,-3.82,8914.66,-3.577,0,0.5893,9.1575,-2016.34,-9.117,-4103.97,-14.1117,-43.95,False
0,218.68,-3905.26,6.701,-2802.97,10.0089,-3.429,-4.9421,5528.44,35265.606,-1.82,9909.06,-3.1611,1,0.18319,55.86,-1481.34,-6.3564,-5044.65,-15.0555,,True
0,170.504,-4041.16,5.217,-2618.14,15.516,-4.295,-6.066,5479.04,34842.93,-1.82,8799.88,-2.6839,1,0.17458,-11.658,-1906.36,-13.422,-2712.15,-17.322,,True
1,164.045,-4212.74,4.0662,-3016.54,11.0661,-2.4585,-4.9074,4858.44,35323.35,-1.82,7711.46,-2.8358,0,0.16212,16.563,-1792.38,-4.76238,-4096.74,-15.5442,-49.92,False
1,168.428,-3823.86,4.5842,-2239.74,10.6935,-2.2683,-5.507,8124.24,35768.13,-3.82,8781.48,-3.2849,1,0.4578,-4.422,-2034.74,-8.001,-4838.55,-14.3451,,False
